CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
misc	bertlani2012		Цоватушинско-грузинско-русско-английский словарь. Том I: a-j	2012	Tsovatush-Georgian-Russian-English Dictionary. Volume I: a-j		Tbilisi				Бертлани, Арсен								Timur Maisak	15.02.2024	In 4 vols. Bertlani is the editor-in-chief.	publisher?
book	bertlani2013		Цоватушинско-грузинско-русско-английский словарь. Том II: k'-k	2013	Tsovatush-Georgian-Russian-English Dictionary. Volume II: k'-k	Saari	Tbilisi				Бертлани, Арсен								Timur Maisak	15.02.2024	In 4 vols. Bertlani is the editor-in-chief.	publisher added, but I'm not sure
book	bertlani2018		Цоватушинско-грузинско-русско-английский словарь. Том III: γ-ʽ	2018	Tsovatush-Georgian-Russian-English Dictionary. Volume III: γ-ʽ	Универсал	Tbilisi				Бертлани, Арсен								Timur Maisak	15.02.2024	In 4 vols. Bertlani is the editor-in-chief.	publisher added, but I'm not sure
misc	bertlani2019		Цоватушинско-грузинско-русско-английский словарь. Том IV (Дополнения): a-ʽ	2019	Tsovatush-Georgian-Russian-English Dictionary. Volume IV (Supplements): a-ʽ		Tbilisi				Бертлани, Арсен								Timur Maisak	15.02.2024	In 4 vols. Bertlani is the editor-in-chief.	publisher?
book	ozdoev1980	Оздоев, Ибрагим А.	Русско-ингушский словарь	1980	Russian-Ingush dictionary	Русский язык	Moscow												Timur Maisak	15.02.2024		
book	bammatov1997	Бамматов, Бурган Г.	Русско-кумыкский словарь	1997	Russian-Kumyk dictionary	ДНЦ РАН	Makhachkala											https://til.im/ru/slovar 	Timur Maisak	15.02.2024	the file is a preprint version, probably with "wrong" pages	
book	garibyan1982	Гарибян, Арарат С.	Русско-армянский словарь: В одном томе 	1982	Russian-Armenian dictionary. In one volume	Айастан	Yerevan												Timur Maisak	17.02.2024	3-е изд.	editor changed to author
book	galstyan1987		Армянско-русский словарь	1987	Armenian-Russian dictionary	Издательство АН Армянской ССР	Yerevan				Галстян, Е. Г.								Timur Maisak	17.02.2024		
book	rayfield2006		A Comprehensive Georgian-English Dictionary (draft version)	2006		Garnett Press	London 				Rayfield, Donald 								Timur Maisak	16.02.2024	Rayfield is the editor-in-chief; the file is a preprint version, probably with "wrong" pages	
book	kogian1949	Kogian, Fr. S. L.	Armenian grammar (West dialect)	1949		Mechitarist Press	Vienna											http://www.nayiri.com/imagedDictionaryBrowser.jsp?dictionaryId=111	Timur Maisak	17.02.2024	Available online	
misc	geoexplanatorydict		Electronic version of Georgian Explanatory Dictionary			Language Modeling Association	Tbilisi											http://ena.ge/explanatory-online 	Timur Maisak	16.02.2024	Available online	
book	rusarmeniandict1954	Амбарцумян, А. А. and Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.	Русско-армянский словарь. Том 1. А—Е	1954	Russian-Armenian dictionary. Vol. 1. A—Ye	Издательство АН Армянской ССР	Yerevan				Агаян, Эд. Б. and Капанцян, Гр. А. and Мелкумян, Р. Л.							http://www.nayiri.com/imagedDictionaryBrowser.jsp?dictionaryId=46 	Timur Maisak	17.02.2024	Authors and editors are different for different volumes.	
book	rusarmeniandict1956	Амбарцумян, А. А. and Геворгян, М. А. and Кусикян, И. Г. and Потеян, В. А. and Тер-Минасян, Е. Г.	Русско-армянский словарь. Том 2. К—О	1956	Russian-Armenian dictionary. Vol. 2. K—O	Издательство АН Армянской ССР	Yerevan				Агаян, Эд. Б. and Казарян, С. К.							http://www.nayiri.com/imagedDictionaryBrowser.jsp?dictionaryId=46 	Timur Maisak	17.02.2024	Authors and editors are different for different volumes.	
book	rusarmeniandict1957	Амбарцумян, А. А. and Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.	Русско-армянский словарь. Том 3. П—Р	1957	Russian-Armenian dictionary. Vol. 3. P—R	Издательство АН Армянской ССР	Yerevan				Гарибян, Арарат С.							http://www.nayiri.com/imagedDictionaryBrowser.jsp?dictionaryId=46 	Timur Maisak	17.02.2024	Authors and editors are different for different volumes.	
book	rusarmeniandict1958	Геворгян, М. А. and Потеян, В. А. and Тер-Минасян, Е. Г.	Русско-армянский словарь. Том 4. С—Я	1958	Russian-Armenian dictionary. Vol. 4. S—Ja	Издательство АН Армянской ССР	Yerevan				Гарибян, Арарат С.							http://www.nayiri.com/imagedDictionaryBrowser.jsp?dictionaryId=46 	Timur Maisak	17.02.2024	Authors and editors are different for different volumes.	
book	abdulaevkhalilov2023	Абдулаев, А. К. and Халилов, Маджид Шарипович	Диалектологический словарь цезского (дидойского) языка 	2023	Dialectological dictionary of Тsez (Dido)	Institute Language, Literature and Arts DFRC RAS	Makhachkala				Халилова, Заира Маджидовна								Svetlana Zemicheva	04.03.2024		preferred transliterations of authors and editor's names and publisher are given in the book 
incollection	kibriktestelec2004	Kibrik, Alexander E. and Testelets, Jakov G.	Bezhta	2004		Caravan Books	Ann Arbor, MI	217-295	The indigenous languages of the Caucasus. Vol. 3: The North East Caucasian languages. Part 1		Job, Michael								Aigul Zakirova	21.03.2024		
incollection	maisak2009	Майсак, Тимур Aнатольевич	Синтаксис и семантика в распределении показателей отрицания (на материале удинского языка)	2009	Syntax and semantics in the distribution of negation markers (on the material of Udi)	Индрик	Moscow	480-495	Логический анализ языка. Ассерция и негация	Logical analysis of language. Assertion and negation	Арутюнова, Нина Д.								Maksim Melenchenko	17.04.2024		
incollection	friedman2021	Friedman, Victor A.	Lak	2021		Oxford University Press	Oxford	201-241	The Oxford Handbook of Languages of the Caucasus		Polinsky, Maria								Maksim Melenchenko	17.04.2024		
incollection	chumakina2021	Chumakina, Marina	Archi	2021		Oxford University Press	Oxford	280-316	The Oxford Handbook of Languages of the Caucasus		Polinsky, Maria								Maksim Melenchenko	17.04.2024		
misc	authier_rutul	Authier, Gilles	Rutul (manuscript)														unpublished		Maksim Melenchenko	17.04.2024		
incollection	ganenkov_maisak2021	Ganenkov, Dmitry and Maisak, Timur	Nakh-Dagestanian Languages	2021		Oxford University Press	Oxford	86-145	The Oxford Handbook of Languages of the Caucasus		Polinsky, Maria								Maksim Melenchenko	02.05.2024		
article	babaliyeva2023_tabasaran	Babaliyeva, Ayten	Standard Tabasaran: short grammar sketch	2023									Languages of the Caucasus	6	1				Maksim Melenchenko	02.05.2024		
misc	harris2018	Harris, Alice	Batsbi Grammatical Sketch	2018													unpublished	https://people.umass.edu/acharris/language-documentation/batsbi-grammatical-sketch/Batsbi%20sketch%20grammar.pdf	Maksim Melenchenko	02.05.2024		
incollection	schulze1994	Schulze-Fürhoff, Wolfgang	Udi	1994		Caravan Press	Delmar, NY	447-514	The North East Caucasian Languages		Smeets, Rieks								Maksim Melenchenko	02.05.2024	NOT IN THE FOLDER	
book	isakov2020	Исаков, Исак Абдулвахидович	Кусурский диалект аварского языка	2020	Kusur dialect of the Avar language	Институт ЯЛИ ДФИЦ РАН, АЛЕФ	Makhachkala												Asya Alekseeva	17.07.2024	NOT IN THE FOLDER	
phdthesis	magomedov2012	Магомедов, Магомед Магомедович	Фонетические и морфологические особенности хотодинского говора гидского диалекта аварского языка	2012	Phonetic and morphological features of the Khotoda idiom of the Gid dialect of the Avar language											ДГПУ			Asya Alekseeva	17.07.2024	NOT IN THE FOLDER	
phdthesis	magomedmansurov2006	Магомедмансуров, Магомедмансур Гаджиевич	Фонетические и морфологические особенности данухского говора аварского языка	2006	Phonetic and morphological features of the Danukh idiom of the Avar language											ДГПУ			Asya Alekseeva	17.07.2024	NOT IN THE FOLDER	
phdthesis	dzhaliliova2011	Джалилова, Зарият Имангазалиевна	Фонетические и морфологические особенности игалинского говора аварского языка	2011	Phonetic and morphological features of the Igali idiom of the Avar language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
phdthesis	batsalova2013	Бацалова, Хадижат Бацаловна	Фонетические и морфологические особенности ругуджинского говора андалальского диалекта аварского языка	2013	Phonetic and morphological features of the Rugudzha idiom of the Andalal dialect of the Avar language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
phdthesis	magomedova2013	Магомедова, Самира Имамагомедовна	Фонетические и морфологические особенности оротинского говора аварского языка	2013	Phonetic and morphological features of the Orota idiom of the Avar language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
phdthesis	yusupova2007	Юсупова, Райханат Магомедовна	Фонетические и морфологические особенности инховского говора аварского языка	2007	Phonetic and morphological features of the Inkho idiom of the Avar language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
phdthesis	gadzhieva2013	Гаджиева, Аминат Магомедариповна	Фонетические и морфологические особенности кахибского говора аварского языка	2013	Phonetic and morphological features of the Kakhib dialect of the Avar language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
book	mejlanova1964	Мейланова, Унейзат Азизовна	Очерки лезгинской диалектологии	1964	Essays on the Lezgian dialectology	Наука	Moscow												Asya Alekseeva	19.07.2024		
book	ganieva2008	Ганиева, Фаида Абубакаровна	Курушский говор лезгинского языка	2008	Kurush dialect of the Lezgian language	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala												Asya Alekseeva	19.07.2024		
book	ganieva2007	Ганиева, Фаида Абубакаровна	Джабинский диалект лезгинского языка	2007	Dzhaba idiom of the Lezgian language	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala												Asya Alekseeva	19.07.2024		
phdthesis	ibragimova2009	Ибрагимова, Лейла Магомедовна	Мюхрекский диалект рутульского языка	2009	Myukhrek dialect of the Rutul language											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
phdthesis	islamov2014	Исламов, Рейман Атемович	Хновский говор борчинско-хновского диалекта рутульского языка: фонетика, морфология, лексика	2014	Khnov idiom of the Borch-Khnov dialect of the Rutul language: phonetics, morphology, lexicon											ДГПУ			Asya Alekseeva	19.07.2024	NOT IN THE FOLDER	
book	gudava1971	Гудава, Того Евстафьевич	Багвалинский язык	1971	The Bagvalal language	Мецниереба	Tbilisi												Asya Alekseeva	19.07.2024		
incollection	khalilov2023d	Khalilov, Madzhid	Andi (Muni dialect)	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard							https://ids.clld.org/contributions/316	Asya Alekseeva	19.07.2024		
incollection	khalilov2023e	Khalilov, Madzhid	Lezgian (Quba dialect)	2023		Max Planck Institute for Evolutionary Anthropology	Leipzig		The Intercontinental Dictionary Series		Key, Mary Ritchie and Comrie, Bernard							https://ids.clld.org/contributions/165	Asya Alekseeva	19.07.2024		bibtexkey changed
book	sulejmanov1993	Сулейманов, Надир Джабраилович	Сравнительно-историческое исследование диалектов агульского языка	1993	Comparative study of the dialects of the Agul language	Институт языка, литературы и искусства им. Г. Цадасы	Makhachkala												Asya Alekseeva	19.07.2024		
article	authier2021	Authier, Gilles	Clusivity and the history of personal pronouns in East Caucasian	2021				205-222					Folia Linguistica Historica	55	s42-s1				Asya Alekseeva	11.09.2024	NOT IN THE FOLDER	
incollection	ganenkovetal2008	Ганенков, Дмитрий С. and Ландер, Юрий А. and Майсак, Тимур А.	Удинский язык (ниджский диалект)	2008	Udi (Nizh dialect)	Языки славянской культуры	Moscow	232-259	Малые языки и традиции: существование на грани. Вып. 2. Тексты и словарные материалы	Minority Languages and Traditions. Vol. 2. Texts and dictionary materials	Кибрик, А. Е.						Not sure about the English translation of the booktitile		Elena Shvedova	14.11.2024		
article	roncero2021b	Roncero, Kristian	Gakvarian Chamalal (Dagestan and Chechnya) – Language Snapshot	2021				64-74					Language Documentation and Description	20					Maksim Melenchenko	12.12.2024		bibtex changed
book	moroz2024	Moroz, George	Online Dictionary of Zilo Andi (v1.0.2)	2024		Linguistic Convergence Laboratory HSE University	Moscow	https://lingconlab.github.io/zilo_dictionary/											Samira Verhees	15.03.2025		
book	chechuroetal2019	Chechuro, Ilya and Daniel, Michael and Verhees, Samira	Daghestanian loans database	2019		Linguistic Convergence Laboratory HSE University	Moscow	https://lingconlab.ru/dagloans/											Samira Verhees	15.03.2025		
book	suleymanov2020	Suleymanov, Murad	A Grammar of Şirvan Tat	2020		Dr. Ludwig Reichert Verlag	Wiesbaden												Samira Verhees	02.05.2025		
